"Plant","Family","Country","References"
"Salvia repens","Lamiaceae","South Africa","Lawal et al, 2015"
"Sansevieria liberica","Dracaenaceae","Benin","Lawal et al, 2015"
"Sarcocephalus latifolius","Rubiaceae","Guinea-Bissau","Silva et al, 2011"
"Scaevola plumieri","Goodeniaceae","South Africa","Lawal et al, 2015"
"Schefflera actinophylla","Araliaceae","Mozambique","Lawal et al, 2015"
"Schefflera umbellifera","Araliaceae","South Africa","Lawal et al, 2015"
"Schizozygia coffaeoides","Apocynaceae","Kenya","Lawal et al, 2015"
"Schkuhria pinnata","Asteraceae","South Africa","Lawal et al, 2015"
"Schrankia leptocarpa","Mimosaceae","Benin","Lawal et al, 2015"
"Schumanniophyton magnificum","Rubiaceae","Cameroon","Lawal et al, 2015"
"Scolopia zeyheri","Flacourtiaceae","Kenya","Lawal et al, 2015"
"Scoparia dulcis","Scrophulariaceae","Brazil","Silva et al, 2011"
"Scorodophloeus zenkeri","Leguminosae","Congo","Lawal et al, 2015"
"Securidaca longipedunculata","Polygalaceae","Mali","Lawal et al, 2015"
"Securinega virosa","Euphorbiaceae","Burkina Faso","Lawal et al, 2015"
"Senecio oxyriifolius","Asteraceae","South Africa","Lawal et al, 2015"
"Senna abbreviata","Fabaceae","Mozambique","Silva et al, 2011"
"Senna alexandrina","Fabaceae","Sudan","Lawal et al, 2015"
"Senna didymobotrya","Fabaceae","Mozambique/South Africa","Lawal et al, 2015"
"Senna occidentalis","Fabaceae","Brazil/Mozambique","Silva et al, 2011"
"Senna petersiana","Fabaceae","South Africa","Lawal et al, 2015"
"Sesamum indicum","Pedaliaceae","Egypt","Lawal et al, 2015"
"Sesbania sesban","Leguminosae","Egypt","Lawal et al, 2015"
"Setaria megaphylla","Poaceae","South Africa","Lawal et al, 2015"
"Sida acuta","Malvaceae","Nigeria","Lawal et al, 2015"
"Sisymbrium irio","Brassicaceae","Egypt","Lawal et al, 2015"
"Solanecio mannii","Asteraceae","Rwanda","Lawal et al, 2015"
"Solanum indicum","Olanaceae","Ivory Coast","Lawal et al, 2015"
"Solanum nigrum","Olanaceae","Ivory Coast","Lawal et al, 2015"
"Solenostemma argel","Apocynaceae","Egypt/Sudan","Lawal et al, 2015"
"Sonchous cornatus","Asteraceae","Sudan","Lawal et al, 2015"
"Spilanthes mauritiana","Asteraceae","South Africa","Lawal et al, 2015"
"Spinacia oleracea","Chenopodiaceae","Egypt","Lawal et al, 2015"
"Staudtia kamerunensis","Myristicaceae","Congo","Lawal et al, 2015"
"Striga hermonthica","Orobanchaceae","Nigeria","Lawal et al, 2015"
"Struchium sparganophorum","Asteraceae","São Tomé","Silva et al, 2011"
"Strychnos henningsii","Strychnaceae","Kenya","Lawal et al, 2015"
"Strychnos icaja","Loganiaceae","Congo","Lawal et al, 2015"
"Strychnos madagascariensis","Strychnaceae","South Africa","Lawal et al, 2015"
"Strychnos potatorum","Strychnaceae","South Africa","Lawal et al, 2015"
"Strychnos pungens","Strychnaceae","South Africa","Lawal et al, 2015"
"Strychnos spinosa","Loganiaceae","Benin/Ivory Coast","Lawal et al, 2015"
"Strychnos usambarensis","Strychnaceae","Kenya","Lawal et al, 2015"
"Stylosanthes erecta","Fabaceae","Mali","Lawal et al, 2015"
"Swartzia madagascariensis","Leguminosae","Burkina Faso","Lawal et al, 2015"
"Symphonia globulifera","Clusiaceae","Congo","Lawal et al, 2015"
"Syzygium cordatum","Myrtaceae","South Africa","Lawal et al, 2015"
"Tabernaemontana elegans","Apocynaceae","South Africa /Mozambique","Lawal et al, 2015"
"Tamarindus indica","Fabaceae","Egypt/Togo","Lawal et al, 2015"
"Tamarix nilotica","Tamaricaceae","Egypt","Lawal et al, 2015"
"Tapinanthus dodoneifolius","Euphorbiaceae","Burkina Faso","Lawal et al, 2015"
"Tapinanthus sessilifolius","Lorantheciae","nigeria","Lawal et al, 2015"
"Tarchonanthus camphoratus","Asteraceae","South Africa","Lawal et al, 2015"
"Tecomaria capensis","Bignoniaceae","South Africa","Lawal et al, 2015"
"Tefracera pogge","Dilleniaceae","Congo","Lawal et al, 2015"
"Terminalia avicennioides","Combretaceae","Burkina, Nigeria","Lawal et al, 2015"
"Terminalia catappa","Combretaceae","Nigeria","Lawal et al, 2015"
"Terminalia ivorensis","Combretaceae","Ghana","Lawal et al, 2015"
"Terminalia mollis","Combretaceae","Rwanda","Lawal et al, 2015"
"Tetradenia riparia","Lamiaceae","South Africa","Lawal et al, 2015"
"Tetrapleura tetraptera","Fabaceae","Congo","Lawal et al, 2015"
"Thomandersia hensii","Acanthaceae","Congo","Lawal et al, 2015"
"Thymus vulgaris","Lamiaceae","Egypt","Lawal et al, 2015"
"Tilia cordata","Tiliaceae","Egypt","Lawal et al, 2015"
"Tinospora bakis","Menispermaceae","Burkina Faso/Sudan","Lawal et al, 2015"
"Tithonia diversifolia","Asteraceae","Nigeria/Rwanda/São Tomé","Lawal et al, 2015; Silva et al, 2011"
"Toddalia asiatica","Rutaceae","Kenya","Lawal et al, 2015"
"Trema orientalis","Ulmaceae","Nigeria","Lawal et al, 2015"
"Trichilia emetica","Meliaceae","Benin/Mali/Mozambique","Lawal et al, 2015"
"Trichilia rubescens","Meliaceae","Uganda","Krief et al, 2006"
"Triclisia dictyophylla","Menispermaceae","Congo","Lawal et al, 2015"
"Tridax procumbens","Asteraceae","South Africa","Lawal et al, 2015"
"Trifolium alexandrinum","Leguminosae","Egypt","Lawal et al, 2015"
"Trimeria grandifolia","Flacourtiaceae","Rwanda","Lawal et al, 2015"
"Triumfetta welwitschii","Tiliaceae","South Africa","Lawal et al, 2015"
"Turraea floribunda","Meliaceae","South Africa","Lawal et al, 2015"
"Turraea heterophylla","Meliaceae","Ghana","Lawal et al, 2015"
"Uvaria chamae","Annonaceae","Ghana","Lawal et al, 2015"
"Uvariopsis congensis","Annonaceae","Uganda","Krief et al, 2006"
"Vahlia capensis","Vahilaceae","Namibia","Lawal et al, 2015"
"Vangueria infausta","Rubiaceae","South Africa","Lawal et al, 2015"
"Vernonia amygdalina","Asteraceae","Angola/Nigeria/São Tomé","Lawal et al, 2015; Silva et al, 2011"
"Vernonia brasiliana","Asteraceae","Brazil","Silva et al, 2011"
"Vernonia colorata","Asteraceae","Ghana/South Africa","Lawal et al, 2015"
"Vernonia fastigiata","Asteraceae","South Africa","Lawal et al, 2015"
"Vernonia hirsute","Asteraceae","South Africa","Lawal et al, 2015"
"Vernonia mespilifolia","Asteraceae","South Africa","Lawal et al, 2015"
"Vernonia myriantha","Asteraceae","South Africa","Lawal et al, 2015"
"Vernonia natalensis","Asteraceae","South Africa","Lawal et al, 2015"
"Vernonia oligocephala","Asteraceae","South Africa","Lawal et al, 2015"
"Virola surinamensis","Myristicaceae","Brazil","Silva et al, 2011"
"Vitex doniana","Verbenaceae","Nigeria","Lawal et al, 2015"
"Withania somnifera","Solanaceae","Egypt","Lawal et al, 2015"
"Ximenia americana","Olacaceae","South Africa","Lawal et al, 2015"
"Ximenia caffra","Olacaceae","South Africa","Lawal et al, 2015"
"Xylopia parviflora","Annonaceae","South Africa","Lawal et al, 2015"
"Xysmalobium undulatum","Araliaceae","South Africa","Lawal et al, 2015"
"Zanthoxylum chalybeum","Rutaceae","Rwanda","Lawal et al, 2015"
"Zehneria scabra","Cucurbitaceae","South Africa","Lawal et al, 2015"
"Zingiber officinale","Zingebracea","Egypt","Lawal et al, 2015"
"Ziziphus mucronata","Rhamnaceae","South Africa","Lawal et al, 2015"
"Ziziphus spina-christi","Rhamnaccae","Egypt","Lawal et al, 2015"
